Datetime,Open,High,Low,Close,Volume,Sma,Atr
2022-01-23 22:04:00,1.0532,1.0569,1.0522,1.0568,393655.0,1.057157142857143,0.004282156493157834
2022-01-23 22:05:00,1.0568,1.0594,1.0566,1.0594,679632.0,1.0572761904761907,0.0042115776125312655
2022-01-23 22:06:00,1.0593,1.0639,1.0593,1.0625,842091.0,1.057495238095238,0.004230073916696451
2022-01-23 22:07:00,1.0625,1.0639,1.0607,1.0618,615745.0,1.0575571428571429,0.004181022777806149
2022-01-23 22:08:00,1.0619,1.0619,1.058,1.0604,816793.0,1.057604761904762,0.004167640740767762
2022-01-23 22:09:00,1.0604,1.0618,1.0594,1.0604,415131.0,1.0576047619047617,0.004083467372159781
2022-01-23 22:10:00,1.0605,1.0641,1.0578,1.0641,935927.0,1.0577095238095238,0.004189016544914076
2022-01-23 22:11:00,1.0641,1.0674,1.0636,1.0654,923391.0,1.058142857142857,0.004170491947537206
2022-01-23 22:12:00,1.0654,1.0681,1.0641,1.0673,711808.0,1.0586619047619048,0.004162373283368768
2022-01-23 22:13:00,1.067,1.0684,1.0648,1.0667,727786.0,1.0591809523809523,0.004135593603208353
2022-01-23 22:14:00,1.0666,1.0794,1.0649,1.077,2959631.0,1.0601428571428573,0.004629136764960334
2022-01-23 22:15:00,1.077,1.08,1.07,1.0711,1614659.0,1.0608809523809524,0.00488489215710508
2022-01-23 22:16:00,1.071,1.0722,1.0666,1.0668,1216641.0,1.0614190476190477,0.00491894491152865
2022-01-23 22:17:00,1.0667,1.069,1.0653,1.0665,555612.0,1.0619761904761904,0.004860899915741573
2022-01-23 22:18:00,1.0663,1.0689,1.0656,1.0682,337648.0,1.0626761904761903,0.004786571348325301
2022-01-23 22:19:00,1.0682,1.07,1.0665,1.0696,838539.0,1.0634761904761905,0.004725306046024099
2022-01-23 22:20:00,1.0696,1.0697,1.0669,1.0677,337475.0,1.0639476190476191,0.004633624805737244
2022-01-23 22:21:00,1.0678,1.0722,1.0677,1.0693,386683.0,1.0643238095238094,0.004627261719749753
2022-01-23 22:22:00,1.0693,1.0706,1.0684,1.0701,182331.0,1.0647238095238096,0.004511677828333098
2022-01-23 22:23:00,1.07,1.071,1.0687,1.0704,181308.0,1.0654619047619047,0.004406359836507711
2022-01-23 22:24:00,1.0705,1.0708,1.067,1.0688,382529.0,1.0662047619047619,0.004377485558578773
2022-01-23 22:25:00,1.0688,1.0692,1.066,1.067,317188.0,1.066690476190476,0.0043214148176940635
2022-01-23 22:26:00,1.067,1.0689,1.067,1.0681,186780.0,1.0671047619047618,0.004206109350184823
2022-01-23 22:27:00,1.0682,1.0692,1.0662,1.0666,249419.0,1.0673,0.004148675571604589
2022-01-23 22:28:00,1.0665,1.0679,1.0626,1.0633,800821.0,1.0673714285714286,0.0042035005443853265
2022-01-23 22:29:00,1.0633,1.0633,1.0599,1.0616,607941.0,1.0674285714285714,0.004165238613700304
2022-01-23 22:30:00,1.0617,1.0624,1.0602,1.0622,664477.0,1.0675142857142856,0.004071655822571717
2022-01-23 22:31:00,1.0621,1.0676,1.062,1.064,569389.0,1.0675095238095238,0.0041444341167349704
2022-01-23 22:32:00,1.0638,1.0663,1.0633,1.0653,241309.0,1.067504761904762,0.004089937254033311
2022-01-23 22:33:00,1.0652,1.0712,1.0644,1.069,2207422.0,1.0675857142857144,0.004218987860984101
2022-01-23 22:34:00,1.0691,1.0692,1.0661,1.067,482413.0,1.0675999999999999,0.004165702724746758
2022-01-23 22:35:00,1.0669,1.0671,1.0655,1.0663,178013.0,1.0670904761904763,0.004043526404520724
2022-01-23 22:36:00,1.0664,1.0684,1.0664,1.068,253845.0,1.0669428571428572,0.003950977528114975
2022-01-23 22:37:00,1.0681,1.07,1.0654,1.0694,610487.0,1.0670666666666666,0.003981883360109508
2022-01-23 22:38:00,1.0693,1.0711,1.0687,1.0699,711621.0,1.0672285714285714,0.0039065555810566715
2022-01-23 22:39:00,1.07,1.0711,1.0683,1.0709,142341.0,1.067357142857143,0.0038538624581492065
2022-01-23 22:40:00,1.0709,1.0714,1.0676,1.0693,338364.0,1.0673428571428571,0.003851297579189711
2022-01-23 22:41:00,1.0692,1.0692,1.067,1.0686,205561.0,1.0673857142857142,0.0037774262658949614
2022-01-23 22:42:00,1.0685,1.0698,1.0681,1.0696,114184.0,1.0674,0.0036785012056142507
2022-01-23 22:43:00,1.0696,1.0698,1.0681,1.0696,178739.0,1.0673761904761905,0.003584286862489764
2022-01-23 22:44:00,1.0696,1.0722,1.0691,1.07,631253.0,1.067357142857143,0.00356122558332359
2022-01-23 22:45:00,1.0703,1.0707,1.0683,1.0696,161963.0,1.0673952380952383,0.0035059291269748456
2022-01-23 22:46:00,1.0697,1.0763,1.0697,1.0739,1166527.0,1.0677238095238095,0.0036580277399760404
2022-01-23 22:47:00,1.0741,1.0757,1.0715,1.0726,857970.0,1.0679380952380952,0.003683835942834334
2022-01-23 22:48:00,1.0725,1.0728,1.071,1.0724,235789.0,1.0682142857142856,0.0035941294693660336
2022-01-23 22:49:00,1.0725,1.0743,1.0723,1.073,264595.0,1.0686761904761906,0.0035182185422533655
2022-01-23 22:50:00,1.0729,1.0793,1.0724,1.079,1561354.0,1.0695047619047617,0.00367925575452701
2022-01-23 22:51:00,1.079,1.082,1.0777,1.0789,861554.0,1.0703,0.003708815004311437
2022-01-23 22:52:00,1.0789,1.0791,1.0758,1.0766,885394.0,1.0709,0.0036893476231537425
2022-01-23 22:53:00,1.0764,1.0768,1.0744,1.0749,393450.0,1.071357142857143,0.0036279501172892764
2022-01-23 22:54:00,1.0749,1.0778,1.0747,1.0757,303370.0,1.0716761904761907,0.003602809635513601
2022-01-23 22:55:00,1.0758,1.078,1.0758,1.0764,599849.0,1.0721238095238097,0.0035407710814415235
2022-01-23 22:56:00,1.0764,1.0768,1.0745,1.0764,714679.0,1.0726047619047618,0.0034816867442300213
2022-01-23 22:57:00,1.0764,1.0765,1.0709,1.0729,502106.0,1.0728380952380951,0.003582558804028594
2022-01-23 22:58:00,1.073,1.0753,1.0711,1.0751,759188.0,1.0731095238095238,0.003611960765741517
2022-01-23 22:59:00,1.075,1.0754,1.0735,1.0743,539340.0,1.0733190476190475,0.003530438824515731
2022-01-23 23:00:00,1.0742,1.0752,1.0715,1.073,422231.0,1.0734190476190477,0.00353851316620546
2022-01-23 23:01:00,1.0727,1.0733,1.0702,1.0708,348993.0,1.0734904761904762,0.003517631586862337
2022-01-23 23:02:00,1.0706,1.0722,1.0675,1.068,631043.0,1.0734619047619047,0.0035739348446308045
2022-01-23 23:03:00,1.0681,1.0702,1.0666,1.0699,605153.0,1.0734761904761907,0.00357517604250553
2022-01-23 23:04:00,1.0699,1.0701,1.0686,1.0689,198762.0,1.0734428571428571,0.0034763581357195555
2022-01-23 23:05:00,1.0688,1.069,1.065,1.0656,315616.0,1.0732333333333333,0.003501293462590053
2022-01-23 23:06:00,1.0657,1.0688,1.0653,1.0686,1021997.0,1.0731857142857142,0.0035012318691333864
2022-01-23 23:07:00,1.0684,1.0688,1.0661,1.0685,312549.0,1.0729285714285715,0.0034630779706032217
2022-01-23 23:08:00,1.0684,1.0698,1.0676,1.0691,269614.0,1.0727619047619048,0.003402931400574496
2022-01-23 23:09:00,1.0691,1.0691,1.063,1.063,861171.0,1.0723142857142858,0.0035313632386423767
2022-01-23 23:10:00,1.0633,1.065,1.063,1.065,739328.0,1.0719333333333334,0.0034584411796594063
2022-01-23 23:11:00,1.065,1.0653,1.0632,1.0632,293178.0,1.0711809523809523,0.0033937535044375293
2022-01-23 23:12:00,1.0634,1.0652,1.0625,1.0651,485417.0,1.0705238095238094,0.0033607176232738336
