Datetime,Open,High,Low,Close,Volume,Sma
2022-01-23 16:12:00,1.1171,1.1181,1.1158,1.118,591665.0,
2022-01-23 16:13:00,1.1179,1.1207,1.1176,1.1195,815773.0,
2022-01-23 16:14:00,1.1195,1.121,1.119,1.1202,371590.0,
2022-01-23 16:15:00,1.1201,1.1201,1.1124,1.113,1315111.0,
2022-01-23 16:16:00,1.1131,1.1146,1.1099,1.1112,1912658.0,
2022-01-23 16:17:00,1.1114,1.1148,1.1112,1.1137,640497.0,
2022-01-23 16:18:00,1.1132,1.1133,1.1105,1.1111,464966.0,
2022-01-23 16:19:00,1.1109,1.1122,1.1099,1.1108,512526.0,
2022-01-23 16:20:00,1.1107,1.1147,1.1106,1.1144,704536.0,
2022-01-23 16:21:00,1.1147,1.1178,1.1147,1.1163,1117913.0,
2022-01-23 16:22:00,1.1163,1.1169,1.113,1.1143,572017.0,
2022-01-23 16:23:00,1.1144,1.1145,1.1081,1.1092,1015008.0,
2022-01-23 16:24:00,1.1093,1.1093,1.1046,1.1084,1397372.0,
2022-01-23 16:25:00,1.1082,1.1082,1.1049,1.1063,543992.0,
2022-01-23 16:26:00,1.1063,1.1103,1.1061,1.1083,811971.0,
2022-01-23 16:27:00,1.1083,1.1132,1.108,1.1129,1467130.0,
2022-01-23 16:28:00,1.1129,1.1152,1.1116,1.1152,956426.0,
2022-01-23 16:29:00,1.115,1.1165,1.1134,1.1164,572270.0,
2022-01-23 16:30:00,1.1163,1.1177,1.1118,1.113,1130773.0,
2022-01-23 16:31:00,1.1131,1.1161,1.11,1.1147,741407.0,
2022-01-23 16:32:00,1.1147,1.1156,1.1128,1.1155,490203.0,1.113447619047619
2022-01-23 16:33:00,1.1154,1.1159,1.1132,1.1134,412632.0,1.1132285714285715
2022-01-23 16:34:00,1.1135,1.1142,1.112,1.112,407045.0,1.1128714285714285
2022-01-23 16:35:00,1.1121,1.1143,1.1121,1.1143,245822.0,1.1125904761904761
2022-01-23 16:36:00,1.1141,1.117,1.1139,1.1168,345617.0,1.1127714285714285
2022-01-23 16:37:00,1.1168,1.117,1.11,1.1108,763340.0,1.112752380952381
2022-01-23 16:38:00,1.1109,1.1114,1.1081,1.11,859955.0,1.1125761904761906
2022-01-23 16:39:00,1.11,1.1108,1.1066,1.1081,721791.0,1.1124333333333334
2022-01-23 16:40:00,1.108,1.108,1.1023,1.1026,1062717.0,1.1120428571428573
2022-01-23 16:41:00,1.1026,1.105,1.1011,1.1033,1389540.0,1.1115142857142857
2022-01-23 16:42:00,1.1033,1.1039,1.095,1.098,2457375.0,1.1106428571428573
2022-01-23 16:43:00,1.0979,1.0995,1.0961,1.0983,971955.0,1.1098809523809525
2022-01-23 16:44:00,1.0983,1.101,1.0983,1.1001,752481.0,1.109447619047619
2022-01-23 16:45:00,1.0999,1.1026,1.0992,1.1005,691238.0,1.1090714285714287
2022-01-23 16:46:00,1.1006,1.1033,1.0985,1.0989,681961.0,1.1087190476190476
2022-01-23 16:47:00,1.099,1.099,1.0778,1.0819,7890075.0,1.1074619047619048
2022-01-23 16:48:00,1.0819,1.0839,1.0756,1.0766,4266255.0,1.1057333333333335
2022-01-23 16:49:00,1.0767,1.0828,1.0767,1.0812,1750953.0,1.1041142857142858
2022-01-23 16:50:00,1.0811,1.0864,1.0801,1.0841,1560734.0,1.1025761904761904
2022-01-23 16:51:00,1.084,1.0868,1.0819,1.0834,1160540.0,1.1011666666666666
2022-01-23 16:52:00,1.0832,1.0847,1.0807,1.0815,945989.0,1.0995857142857144
2022-01-23 16:53:00,1.0814,1.0836,1.081,1.0828,555506.0,1.0980285714285714
2022-01-23 16:54:00,1.083,1.0853,1.082,1.082,1340801.0,1.0965333333333334
2022-01-23 16:55:00,1.082,1.0853,1.0813,1.0845,790495.0,1.0952238095238096
2022-01-23 16:56:00,1.0844,1.0855,1.0821,1.0841,804135.0,1.0937857142857144
2022-01-23 16:57:00,1.0841,1.094,1.0822,1.0919,3450130.0,1.0926
2022-01-23 16:58:00,1.0919,1.0952,1.0919,1.0934,1353173.0,1.0917714285714286
2022-01-23 16:59:00,1.0934,1.0936,1.09,1.0911,1208970.0,1.0908714285714285
2022-01-23 17:00:00,1.0911,1.0911,1.0883,1.0899,1306955.0,1.090004761904762
2022-01-23 17:01:00,1.0898,1.0912,1.0885,1.0907,994340.0,1.0894380952380953
2022-01-23 17:02:00,1.0907,1.0973,1.0906,1.0951,2124983.0,1.089047619047619
2022-01-23 17:03:00,1.0948,1.0958,1.092,1.092,827692.0,1.0887619047619046
2022-01-23 17:04:00,1.092,1.0925,1.09,1.0903,592112.0,1.0883809523809524
2022-01-23 17:05:00,1.0902,1.0944,1.0902,1.0925,675394.0,1.0880190476190474
2022-01-23 17:06:00,1.0924,1.0954,1.0919,1.0949,428629.0,1.087752380952381
2022-01-23 17:07:00,1.095,1.0985,1.0942,1.0947,1163571.0,1.0875523809523808
2022-01-23 17:08:00,1.0948,1.0958,1.0926,1.0927,287646.0,1.0880666666666667
2022-01-23 17:09:00,1.0926,1.0942,1.0913,1.0932,412915.0,1.0888571428571427
2022-01-23 17:10:00,1.0931,1.0938,1.0921,1.0936,323774.0,1.089447619047619
2022-01-23 17:11:00,1.0935,1.0971,1.0934,1.0957,560660.0,1.09
2022-01-23 17:12:00,1.0957,1.0958,1.0942,1.0954,587763.0,1.0905714285714285
2022-01-23 17:13:00,1.0954,1.0956,1.0928,1.093,300192.0,1.0911190476190475
2022-01-23 17:14:00,1.0929,1.093,1.0849,1.0866,1453094.0,1.0913
2022-01-23 17:15:00,1.0867,1.0925,1.0867,1.091,853801.0,1.0917285714285714
2022-01-23 17:16:00,1.0909,1.0949,1.0898,1.0939,812657.0,1.0921761904761904
2022-01-23 17:17:00,1.0939,1.095,1.0907,1.0907,517619.0,1.0924904761904761
2022-01-23 17:18:00,1.091,1.0929,1.0908,1.092,275092.0,1.092495238095238
2022-01-23 17:19:00,1.092,1.0933,1.0909,1.0911,383903.0,1.092385714285714
2022-01-23 17:20:00,1.0913,1.096,1.0905,1.0959,568340.0,1.0926142857142858
2022-01-23 17:21:00,1.096,1.0993,1.094,1.0991,1063418.0,1.0930523809523809
2022-01-23 17:22:00,1.099,1.0997,1.0954,1.0965,638804.0,1.0933285714285712
2022-01-23 17:23:00,1.0965,1.0973,1.0951,1.0951,199645.0,1.0933285714285714
2022-01-23 17:24:00,1.0952,1.0979,1.0949,1.0978,310230.0,1.0936047619047617
2022-01-23 17:25:00,1.0978,1.0986,1.0947,1.0948,1078619.0,1.0938190476190475
2022-01-23 17:26:00,1.0947,1.0954,1.0924,1.0947,470372.0,1.0939238095238095
2022-01-23 17:27:00,1.0946,1.0964,1.0946,1.0951,256438.0,1.0939333333333334
2022-01-23 17:28:00,1.0952,1.0956,1.0931,1.0952,320981.0,1.0939571428571429
2022-01-23 17:29:00,1.0954,1.0961,1.0937,1.0937,291186.0,1.094004761904762
2022-01-23 17:30:00,1.0937,1.0938,1.0878,1.0903,1199382.0,1.0938666666666665
2022-01-23 17:31:00,1.09,1.0917,1.0899,1.09,861111.0,1.093695238095238
2022-01-23 17:32:00,1.0901,1.0912,1.0889,1.0893,340475.0,1.093390476190476
2022-01-23 17:33:00,1.0892,1.0899,1.0853,1.0869,578478.0,1.0929857142857142
2022-01-23 17:34:00,1.0868,1.0908,1.0867,1.0907,620287.0,1.0928761904761906
2022-01-23 17:35:00,1.0908,1.0927,1.0886,1.0899,529864.0,1.0930333333333333
2022-01-23 17:36:00,1.09,1.0926,1.0896,1.0909,317177.0,1.0930285714285715
2022-01-23 17:37:00,1.0909,1.0917,1.0892,1.0903,307018.0,1.0928571428571427
2022-01-23 17:38:00,1.0902,1.0909,1.0889,1.0896,395772.0,1.092804761904762
2022-01-23 17:39:00,1.0895,1.0902,1.0869,1.0883,750280.0,1.0926285714285715
2022-01-23 17:40:00,1.0884,1.0905,1.0883,1.09,361439.0,1.0925761904761906
2022-01-23 17:41:00,1.0901,1.0903,1.0867,1.0886,389783.0,1.0922285714285715
2022-01-23 17:42:00,1.0888,1.0889,1.0837,1.0851,887969.0,1.091561904761905
2022-01-23 17:43:00,1.0851,1.088,1.0847,1.0864,403426.0,1.0910809523809524
2022-01-23 17:44:00,1.0863,1.0894,1.0863,1.0888,338288.0,1.0907809523809522
2022-01-23 17:45:00,1.0888,1.0889,1.0858,1.086,311223.0,1.0902190476190476
2022-01-23 17:46:00,1.0861,1.0872,1.0843,1.0843,221179.0,1.0897190476190477
2022-01-23 17:47:00,1.0843,1.0856,1.0836,1.0841,547945.0,1.0892142857142857
2022-01-23 17:48:00,1.0842,1.0856,1.0837,1.0853,357352.0,1.0887476190476189
2022-01-23 17:49:00,1.0852,1.0857,1.084,1.084,344738.0,1.0882142857142856
2022-01-23 17:50:00,1.0842,1.085,1.0813,1.0833,726416.0,1.0877190476190475
2022-01-23 17:51:00,1.0834,1.0887,1.0834,1.0873,445912.0,1.0875761904761905
2022-01-23 17:52:00,1.0872,1.0898,1.0871,1.0883,498477.0,1.087495238095238
2022-01-23 17:53:00,1.0882,1.0889,1.0845,1.0848,330047.0,1.0872809523809526
2022-01-23 17:54:00,1.0847,1.0884,1.0846,1.087,358882.0,1.0872857142857144
2022-01-23 17:55:00,1.087,1.0894,1.087,1.088,303329.0,1.087157142857143
2022-01-23 17:56:00,1.0881,1.0944,1.0881,1.0934,628772.0,1.0873238095238096
2022-01-23 17:57:00,1.0935,1.0947,1.0913,1.0937,628084.0,1.0874571428571427
2022-01-23 17:58:00,1.0935,1.0957,1.0922,1.0954,524800.0,1.0877
2022-01-23 17:59:00,1.0955,1.0958,1.0923,1.0929,450955.0,1.0878571428571429
2022-01-23 18:00:00,1.093,1.0978,1.0927,1.0965,1016447.0,1.0882476190476191
2022-01-23 18:01:00,1.0965,1.1031,1.0964,1.1025,1903820.0,1.088842857142857
2022-01-23 18:02:00,1.1025,1.1039,1.098,1.1035,3656482.0,1.0895523809523808
2022-01-23 18:03:00,1.1035,1.1036,1.0983,1.1015,1356707.0,1.0903333333333332
2022-01-23 18:04:00,1.1015,1.1055,1.1012,1.1051,870232.0,1.0912238095238096
2022-01-23 18:05:00,1.105,1.1076,1.1028,1.106,1068181.0,1.092042857142857
2022-01-23 18:06:00,1.1061,1.108,1.104,1.1056,1019301.0,1.0929761904761905
