Datetime,Open,High,Low,Close,Volume,Sma,Atr
2022-01-19 00:00:00,1.4709,1.5054,1.4623,1.4944,66649843.0,,0.0
2022-01-19 01:00:00,1.4944,1.4954,1.457,1.4577,47927195.0,,0.0
2022-01-19 02:00:00,1.4578,1.5054,1.4577,1.4857,78428393.0,,0.0
2022-01-19 03:00:00,1.4856,1.5325,1.4852,1.5178,76035293.0,,0.0
2022-01-19 04:00:00,1.5176,1.5212,1.4931,1.4962,46298060.0,,0.0
2022-01-19 05:00:00,1.4962,1.5003,1.4408,1.4514,87847454.0,,0.0
2022-01-19 06:00:00,1.4514,1.458,1.4312,1.4361,58607592.0,,0.0
2022-01-19 07:00:00,1.4361,1.4462,1.3967,1.4083,70639383.0,,0.0
2022-01-19 08:00:00,1.4084,1.4159,1.3915,1.3926,51887518.0,,0.0
2022-01-19 09:00:00,1.3924,1.3974,1.3527,1.3793,122980351.0,,0.0
2022-01-19 10:00:00,1.379,1.3927,1.3631,1.383,75515714.0,,0.0
2022-01-19 11:00:00,1.383,1.4059,1.3784,1.3999,73065970.0,,0.0
2022-01-19 12:00:00,1.3998,1.404,1.374,1.3928,48333094.0,,0.0
2022-01-19 13:00:00,1.3928,1.4287,1.3904,1.4267,68498958.0,,0.0
2022-01-19 14:00:00,1.4267,1.436,1.4114,1.4232,55009795.0,,0.0
2022-01-19 15:00:00,1.4233,1.437,1.4084,1.4209,51412624.0,,0.0
2022-01-19 16:00:00,1.4207,1.4427,1.41,1.4405,58053610.0,,0.0
2022-01-19 17:00:00,1.4405,1.442,1.3941,1.4037,67179962.0,,0.0
2022-01-19 18:00:00,1.4038,1.4098,1.3823,1.3944,49894204.0,,0.0
2022-01-19 19:00:00,1.3943,1.4099,1.3811,1.3958,44118862.0,,0.0
2022-01-19 20:00:00,1.396,1.408,1.3894,1.3965,27380771.0,1.4284238095238095,0.03540952380952378
2022-01-19 21:00:00,1.3965,1.3994,1.3654,1.3658,38657778.0,1.4223000000000001,0.035342403628117885
2022-01-19 22:00:00,1.3659,1.3676,1.3307,1.3356,78060009.0,1.4164857142857141,0.03541657488392179
2022-01-19 23:00:00,1.3356,1.3478,1.3288,1.331,44211177.0,1.4091190476190476,0.034634833222782664
2022-01-20 00:00:00,1.331,1.3583,1.3253,1.3501,43033184.0,1.4011333333333333,0.03455698402169778
2022-01-20 01:00:00,1.35,1.354,1.331,1.3353,40061343.0,1.3934714285714287,0.03400665144923599
2022-01-20 02:00:00,1.3353,1.3465,1.3172,1.3231,61604843.0,1.3873619047619048,0.033782525189748565
2022-01-20 03:00:00,1.3231,1.3372,1.3151,1.3333,52873474.0,1.3824666666666665,0.033226214466427206
2022-01-20 04:00:00,1.3332,1.3576,1.333,1.3492,40032587.0,1.3796523809523809,0.03281544234897829
